MailProduct,MailClass,Revenue,AttributableCost,VVCost,RevenuePP,AttributableCostPP,VVCostPP,ContributionPP,CostCoverage,Pieces,Weight,WeightPP
SP Letters,FirstClass,8285,5273,5095,0.52,0.33,0.32,0.19,1.57,15953934,467047,0.5
SP Postcards,FirstClass,204,187,186,0.36,0.33,0.33,0.03,1.09,563453,3618,0.1
Presort Letters,FirstClass,13690,4678,4608,0.39,0.13,0.13,0.26,2.93,35207142,2032376,0.9
Presort Cards,FirstClass,503,173,173,0.26,0.09,0.09,0.17,2.9,1923399,15713,0.1
Flats,FirstClass,1649,1516,1513,1.27,1.17,1.17,0.1,1.09,1295348,261492,3.2
Outbound Intl.,FirstClass,184,127,126,1.46,1,1,0.46,1.46,126052,7766,1
Inbound Intl.,FirstClass,598,762,760,1.07,1.36,1.36,-0.29,0.78,560457,235897,6.7
First Class,TotalMarketDominant,25217,12978,12461,0.45,0.23,0.22,0.22,1.94,55629785,3023908,0.9
HD/Sat Letters,MarketingMail,1196,586,580,0.17,0.08,0.08,0.08,2.04,7253647,292006,0.6
HD/Sat Flats,MarketingMail,2066,1499,1471,0.18,0.13,0.13,0.05,1.38,11606928,2034704,2.8
Carrier Route,MarketingMail,1669,1673,1663,0.26,0.26,0.26,0,1,6358867,1304414,3.3
Letters,MarketingMail,9713,5124,4996,0.21,0.11,0.11,0.1,1.9,45966176,2242030,0.8
Flats,MarketingMail,1561,2307,2300,0.41,0.6,0.6,-0.2,0.68,3818182,961509,4
Parcels,MarketingMail,48,85,85,1.31,2.3,2.3,-0.99,0.57,36861,14852,6.4
EDDM,MarketingMail,120,46,46,0.18,0.07,0.07,0.11,2.59,649386,82368,2
Marketing Mail,TotalMarketDominant,16407,11798,11142,0.22,0.16,0.15,0.06,1.39,75690047,6931881,1.5
In County,Periodicals,56,96,96,0.11,0.19,0.19,-0.08,0.58,499313,127964,4.1
Outside County,Periodicals,1132,1769,1764,0.27,0.43,0.43,-0.15,0.64,4135305,1444298,5.6
Periodicals,TotalMarketDominant,1194,1866,1860,0.26,0.4,0.4,-0.15,0.64,4634618,1572263,5.4
Alaska Bypass,PackageServices,32,20,20,24.91,15.99,15.99,8.93,1.56,1274,85758,1077.2
BPM Flats,PackageServices,191,133,132,0.75,0.52,0.52,0.23,1.43,254368,428698,27
BPM Parcels,PackageServices,314,297,295,1.1,1.04,1.03,0.06,1.06,285933,590904,33.1
Media and Lib,PackageServices,284,397,396,3.54,4.96,4.94,-1.41,0.72,80122,174195,34.8
Package Services,TotalMarketDominant,821,848,843,1.32,1.36,1.36,-0.04,0.97,621696,1279555,32.9
International NSA,Other,245,38,38,93.83,14.54,14.52,79.29,6.45,2610,2451,15
Free Mail,Other,0,40,40,0,1.17,1.17,-1.17,0,0,0,0
Certified Mail,Services,654,478,472,3.5,2.56,2.52,0.94,1.37,186950,0,0
Money Orders,Services,163,155,150,2.01,1.9,1.85,0.1,1.05,81268,0,0
PO Box Service,Services,294,256,255,0,0,0,0,1.15,0,0,0
Other Services,Services,699,415,405,0,0,0,0,1.68,47251,0,0
Special Services,TotalMarketDominant,1810,1322,1282,0,0,0,0,1.37,315469,0,0
MdPieUnderwater,mdPie,4500,0,0,0,0,0,0,0,0,0,0
MDPieOverwater,mdPie,40949,0,0,0,0,0,0,0,0,0,0
